Labels
 Threshold, 100, 300, 600, 700, 800, 900, sum of good, size of good labels , inc 100, inc 300, inc 600, inc 700, inc 800, inc 900, Incorrect label combinations,  Incorrect, totalFN, FN100, FN300, FN600, FN700, FN800, FN900, Normalized TP, Normalized FP 
0.1, 31, 10, 10,6,5,10,72,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,1002 , 698, 90 ,90 ,30 ,4 ,90 ,0.0670391061453 ,0.0 
0.15, 39, 10, 14,8,5,20,96,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,978 , 690, 90 ,86 ,28 ,4 ,80 ,0.0893854748603 ,0.0 
0.2, 71, 10, 18,8,5,29,141,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,933 , 658, 90 ,82 ,28 ,4 ,71 ,0.131284916201 ,0.0 
0.25, 140, 10, 19,14,5,34,222,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,852 , 589, 90 ,81 ,22 ,4 ,66 ,0.206703910615 ,0.0 
0.3, 188, 11, 20,17,9,34,279,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,795 , 541, 89 ,80 ,19 ,0 ,66 ,0.259776536313 ,0.0 
0.35, 243, 14, 29,18,9,34,347,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,727 , 486, 86 ,71 ,18 ,0 ,66 ,0.323091247672 ,0.0 
0.4, 269, 22, 34,23,9,34,391,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,683 , 460, 78 ,66 ,13 ,0 ,66 ,0.364059590317 ,0.0 
0.45, 274, 22, 36,36,9,34,411,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,663 , 455, 78 ,64 ,0 ,0 ,66 ,0.382681564246 ,0.0 
0.5, 281, 24, 45,36,9,34,429,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,645 , 448, 76 ,55 ,0 ,0 ,66 ,0.399441340782 ,0.0 
0.55, 299, 40, 49,36,9,36,469,66 , 0, 0 , 0 ,0 ,0 ,0 ,0 ,0 ,605 , 430, 60 ,51 ,0 ,0 ,64 ,0.436685288641 ,0.0 
0.6, 341, 50, 64,36,9,53,553,66 , 11, 0 , 16 ,4 ,0 ,0 ,31 ,31 ,521 , 388, 50 ,36 ,0 ,0 ,47 ,0.514897579143 ,0.00944546008531 
0.65, 389, 60, 84,36,9,79,657,66 , 61, 0 , 76 ,37 ,0 ,0 ,174 ,174 ,417 , 340, 40 ,16 ,0 ,0 ,21 ,0.611731843575 ,0.0530164533821 
0.7, 493, 100, 98,36,9,94,830,66 , 135, 13 , 142 ,81 ,0 ,2 ,373 ,373 ,244 , 236, 0 ,2 ,0 ,0 ,6 ,0.772811918063 ,0.113650213285 
0.75, 640, 100, 100,36,9,100,985,66 , 292, 197 , 274 ,183 ,34 ,89 ,1069 ,1069 ,89 , 89, 0 ,0 ,0 ,0 ,0 ,0.917132216015 ,0.325716026813 
0.8, 680, 100, 100,36,9,100,1025,66 , 725, 441 , 490 ,329 ,162 ,358 ,2505 ,2505 ,49 , 49, 0 ,0 ,0 ,0 ,0 ,0.954376163873 ,0.763254113346 
0.85, 729, 100, 100,36,9,100,1074,66 , 1053, 559 , 560 ,360 ,189 ,560 ,3281 ,3281 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,0.999695307739 
0.9, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
0.95, 729, 100, 100,36,9,100,1074,66 , 1053, 560 , 560 ,360 ,189 ,560 ,3282 ,3282 ,0 , 0, 0 ,0 ,0 ,0 ,0 ,1.0 ,1.0 
